Average,189 Wh/km
Audi Q4 Sportback e-tron 45 quattro,188
Smart #1 Pure,188
Smart #1 Pro,188
Nissan Ariya 63kWh,188
Volvo EC40 Single Motor ER,188
Lexus UX 300e,188
Ford Mustang Mach-E SR RWD,189
BMW i5 M60 xDrive Sedan,189
Ford Mustang Mach-E ER RWD,190
Genesis GV60 Premium,190
Audi Q6 e-tron Sportback quattro,190
Polestar 4 Long Range Single Motor,190
Mercedes-Benz EQA 300 4MATIC,190
Mercedes-Benz EQA 350 4MATIC,190
Lotus Emeya,190
Lotus Emeya S,190
Porsche Taycan 4S Plus Sport Turismo,190
Porsche Taycan 4 Cross Turismo,190
Porsche Taycan 4S Cross Turismo,190
Aiways U5,190
Smart #1 Pulse,191
Smart #1 Brabus,191
Volvo EX30 Twin Motor Performance,191
BMW i5 M60 xDrive Touring,191
Audi SQ6 e-tron Sportback,192
XPENG G9 RWD Standard Range,192
Audi Q6 e-tron,192
Porsche Taycan Turbo Sport Turismo,192
Porsche Taycan Turbo S Sport Turismo,192
Porsche Taycan GTS Sport Turismo,192
Peugeot e-3008 73 kWh,192
Volvo ES90 Twin Motor,192
Volvo ES90 Twin Motor Performance,192
Mercedes-Benz EQB 300 4MATIC,193
Mercedes-Benz EQB 350 4MATIC,193
MG MG4 Electric XPOWER,193
Nissan Ariya 87kWh,193
BMW i5 M60 xDrive Sedan,193
Audi Q6 e-tron performance,194
Peugeot e-3008 97 kWh Long Range,194
Polestar 4 Long Range Dual Motor,194
XPENG G9 RWD Long Range,194
BYD SEALION 7 82.5 kWh RWD Comfort,194
GWM ORA 07 GT,194
Volvo EX40 Single Motor,194
KGM Torres EVX,195
Peugeot e-3008 73 kWh Dual Motor,195
Genesis GV60 Sport,195
Audi Q4 e-tron 45 quattro,195
Audi Q4 e-tron 55 quattro,195
BMW i7 eDrive50,196
BMW i5 M60 xDrive Touring,196
Zeekr 001 Performance AWD,196
Zeekr 001 Privilege AWD,196
Porsche Macan 4 Electric,196
Tesla Model X Dual Motor,196
Porsche Macan 4S Electric,196
Porsche Taycan Turbo Cross Turismo,196
Leapmotor C10,197
Peugeot e-5008 73 kWh,197
Volvo EX40 Single Motor ER,198
Volvo EC40 Twin Motor Performance,198
Volvo EC40 Twin Motor,198
Maserati GranTurismo Folgore,198
Audi Q6 e-tron quattro,198
Zeekr 7X Performance AWD,198
BMW i7 xDrive60,199
BYD SEAL U 71.8 kWh Comfort,199
Peugeot e-5008 97 kWh Long Range,200
Renault Kangoo E-Tech Electric,200
Subaru Solterra AWD,200
Volvo EX30 Cross Country,200
Porsche Taycan Turbo S Cross Turismo,200
Mercedes-Benz EQT 200 Standard,200
Opel Grandland 73 kWh,200
Nissan Townstar EV Passenger,200
XPENG G9 AWD Performance,200
Opel Grandland 82 kWh,200
Smart #5 Pro,201
Mercedes-Benz EQE AMG 43 4MATIC,201
Mercedes-Benz EQE AMG 53 4MATIC+,201
Mercedes-Benz EQE SUV 300,201
NIO EL6 Standard Range,201
NIO EL8 Standard Range,201
BMW iX xDrive45,202
Mercedes-Benz EQS AMG 53 4MATIC+,202
Audi SQ6 e-tron,202
Mercedes-Benz EQE SUV 350+,202
Porsche Macan Turbo Electric,202
Smart #5 Pro+,202
Smart #5 Premium,202
Genesis GV60 Sport Plus,203
Peugeot e-5008 73 kWh Dual Motor,203
BYD SEALION 7 82.5 kWh AWD Design,204
Porsche Taycan Turbo GT,204
Porsche Taycan Turbo GT Weissach,204
Tesla Model X Plaid,204
Nissan Townstar EV Passenger L2,205
NIO EL8 Long Range,205
Mercedes-Benz EQT 200 Long,205
Renault Kangoo Grand E-Tech Electric,205
BYD SEAL U 87 kWh Design,205
Hyundai IONIQ 5 N,205
Volvo EX40 Twin Motor,205
Kia EV9 76.1 kWh RWD,206
Skywell BE11 Standard Range,206
Smart #5 Pulse,207
Smart #5 Summit Edition,207
Ford Mustang Mach-E ER AWD,207
NIO EL6 Long Range,207
NIO EL7 Standard Range,207
Ford Mustang Mach-E SR AWD,207
BMW i7 M70 xDrive,208
Elaris BEO 86 kWh,208
Skywell BE11 Long Range,208
Kia EV6 GT,208
BMW iX xDrive60,208
Volvo EX40 Twin Motor Performance,208
Mercedes-Benz EQE SUV 350 4MATIC,208
Voyah Free 106 kWh,208
NIO EL7 Long Range,209
BYD SEALION 7 91.3 kWh AWD Excellence,210
Maserati GranCabrio Folgore,210
Mercedes-Benz EQE SUV 500 4MATIC,211
Genesis GV70 Electrified Sport,211
Lotus Emeya R,213
Citroen e-Berlingo M 50 kWh,213
Opel Combo-e Life 50 kWh,213
Peugeot e-Rifter M 50 kWh,213
Toyota Proace City Verso Electric L1 50 kWh,213
Mercedes-Benz EQE SUV AMG 43 4MATIC,213
Kia EV9 99.8 kWh RWD,213
Polestar 3 Long Range Single motor,214
Ford Mustang Mach-E GT,214
Hyundai IONIQ 9 Long Range RWD,214
Volkswagen ID. Buzz NWB Pure,215
Nissan Ariya e-4ORCE 87kWh - 225 kW,215
Mercedes-Benz EQE SUV AMG 53 4MATIC+,216
VinFast VF 8 Eco Extended Range,217
Citroen e-Berlingo XL 50 kWh,217
Opel Combo-e Life XL 50 kWh,217
Peugeot e-Rifter XL 50 kWh,217
Toyota Proace City Verso Electric L2 50 kWh,217
BMW iX M70 xDrive,218
Mercedes-Benz EQS SUV 450+,219
VinFast VF 8 Plus Extended Range,219
Rolls-Royce Spectre,219
Volkswagen ID. Buzz NWB Pro,219
Volvo EX90 Single Motor,220
Lotus Eletre,220
Polestar 3 Long Range Dual motor,221
Kia EV9 99.8 kWh AWD,221
Hyundai IONIQ 9 Long Range AWD,221
Cadillac Lyriq 600 E4,222
Ford Mustang Mach-E Rally,222
Mercedes-Benz EQS SUV 450 4MATIC,223
Mercedes-Benz EQS SUV 500 4MATIC,223
Mercedes-Benz EQS SUV 580 4MATIC,223
Jaguar I-Pace EV400,223
Hyundai IONIQ 9 Performance AWD,226
Kia EV9 99.8 kWh AWD GT-Line,226
Nissan Ariya e-4ORCE 87kWh - 320 kW Nismo,226
Lotus Eletre S,227
Polestar 3 Long Range Performance,228
Volvo EX90 Twin Motor,230
Maxus MIFA 9,230
Volkswagen ID. Buzz LWB Pro,232
Volkswagen ID. Buzz NWB GTX,236
BYD TANG Flagship,237
Maserati Grecale Folgore,238
Volvo EX90 Twin Motor Performance,238
VinFast VF 9 Extended Range,239
Hongqi E-HS9 84 kWh,239
Lotus Eletre R,240
Mercedes-Benz EQS SUV Maybach 680,241
