name,address,full_address,lat,lon,node
ABBank,978 Nguyễn Văn Linh,"978 Nguyễn Văn Linh, nan, nan, nan, nan",10.729291,106.7075305,2210787216
Tổng Công Ty Điện Lực TP.HCM,35 Tôn Ðức Thắng,"35 Tôn Ðức Thắng, nan, nan, nan, nan",10.7837694,106.7041704,8141066122
Cửa Hàng Xăng Dầu Petrolimex,70 Trương Định,"70 Trương Định, nan, nan, nan, nan",10.7825655,106.6837858,411926216
Co.opmart Phan Văn Trị,543/1 Đường Phan Văn Trị,"543/1 Đường Phan Văn Trị, nan, Q. Gò Vấp, TP.HCM, nan",10.8295261,106.6820675,6770635835
Trường Đại học Mở TP.HCM,97 Võ Văn Tần,"97 Võ Văn Tần, nan, nan, nan, nan",10.7761576,106.6903617,411925453
HiHi TomYum,18 Đường Số 6,"18 Đường Số 6, nan, nan, nan, nan",10.7302921,106.7095995,735998185
Nhà Thuốc An Khang,7 Bùi Bằng Đoàn,"7 Bùi Bằng Đoàn, nan, Quận 7, Hồ Chí Minh, nan",10.7305239,106.7087488,735998162
Paradise Hotel,R4-60-61-62 Hưng Gia 5,"R4-60-61-62 Hưng Gia 5, nan, nan, nan, nan",10.7338658,106.7068611,735998216
Coconut and Pumpkin,85 Châu Văn Liêm,"85 Châu Văn Liêm, nan, nan, nan, nan",10.7527455,106.6585727,4617708124
Cà Phê Mocking Bird,14 Tôn Thất Ðạm,"14 Tôn Thất Ðạm, nan, nan, nan, nan",10.7694751,106.7044829,411926221
Lẩu Dê Đức Dưỡng,C12/1 Tân Sơn,"C12/1 Tân Sơn, nan, nan, nan, nan",10.8338118,106.64433,2499049229
Techcombank,34 Đinh Tiên Hoàng,"34 Đinh Tiên Hoàng, nan, Quận 1, Ho Chi Minh City, nan",10.800224,106.696268,2899892666
Starbucks,93 Nguyễn Du,"93 Nguyễn Du, nan, nan, nan, nan",10.7767726,106.6983083,411926696
Khách Sạn Elegant,122F-122F1 Bùi Thị Xuân,"122F-122F1 Bùi Thị Xuân, nan, nan, Ho Chi Minh City, VN",10.7697367,106.6882034,11801821651
Nhà Hát Múa Rối Nước Rồng Vàng,55B Nguyễn Thị Minh Khai,"55B Nguyễn Thị Minh Khai, nan, nan, Ho Chi Minh City, VN",10.7762412,106.6924688,12157150905
Công Ty TNHH Nam Bình,A72 Kha Vạn Cân,"A72 Kha Vạn Cân, nan, nan, Hồ Chí Minh, nan",10.8639291,106.7608661,5767184411
Cắt Tóc Thanh Phong,110 Đường Nguyễn Khoái,"110 Đường Nguyễn Khoái, nan, nan, nan, nan",10.75609,106.693908,1767169484
Cà Phê Paradise,121 Đường Huỳnh Mẫn Đạt,"121 Đường Huỳnh Mẫn Đạt, nan, nan, nan, nan",10.7557401,106.6762805,5794854826
Cà Phê Anh Phán,60 Đường Nguyễn Thái Bình,"60 Đường Nguyễn Thái Bình, nan, nan, nan, nan",10.7690065,106.6992927,411926577
Pizza Hut,61 Trương Định,"61 Trương Định, nan, Quận 3, Ho Chi Minh City, nan",10.776985,106.690347,411925919
Hong Leong Bank,72-74 Nguyễn Thị Minh Khai,"72-74 Nguyễn Thị Minh Khai, nan, nan, nan, nan",10.7826936,106.6970286,2036596690
Rạp Hát Hoà Bình,240 3 Tháng 2,"240 3 Tháng 2, nan, nan, nan, nan",10.772194,106.6739668,698217101
Liên Đoàn Truyền Giáo Phúc Âm Việt Nam,28 Hồ Tùng Mậu,"28 Hồ Tùng Mậu, nan, nan, nan, nan",10.7703006,106.7048954,1769173982
Cà Phê Milano Radio,33 Hoa Sứ,"33 Hoa Sứ, nan, nan, Phường 7, Quận Phú Nhuận, Thành Phố Hồ Chí Minh, nan",10.7994534,106.6888155,724215651
Công Ty Diệt Côn Trùng Ba Lá Pest Control,614/14 Đường Số 79,"614/14 Đường Số 79, nan, nan, Hồ Chí Minh, nan",10.8368951,106.7676906,11811488369
Quán Beer Plaza,94 - 96 Đường Lê Lai,"94 - 96 Đường Lê Lai, nan, nan, nan, nan",10.7700421,106.6934779,2032267208
